model,shape,horizon,state_mse,input_mse
helicopter,circle,18,0.001121,0.009156
helicopter,circle,18,0.001947,0.008033
helicopter,circle,18,0.001823,0.007994
helicopter,circle,18,0.000717,0.007596
helicopter,circle,18,0.000314,0.007916
helicopter,circle,18,0.000427,0.008112
helicopter,circle,18,0.002912,0.009423
helicopter,circle,18,0.000441,0.007843
helicopter,circle,18,0.000895,0.008645
helicopter,circle,18,0.000558,0.008346
helicopter,circle,18,0.000944,0.008197
helicopter,circle,18,0.000998,0.007898
helicopter,circle,18,0.000526,0.007641
helicopter,circle,18,0.001219,0.010784
helicopter,circle,18,0.001210,0.008506
helicopter,circle,18,0.001702,0.008331
helicopter,circle,18,0.001436,0.008977
helicopter,circle,18,0.000346,0.007912
helicopter,circle,18,0.000785,0.007913
helicopter,circle,18,0.000793,0.007778
helicopter,circle,18,0.003271,0.010599
helicopter,circle,18,0.001038,0.008809
helicopter,circle,18,0.007610,0.028036
helicopter,circle,18,0.001520,0.010954
helicopter,circle,18,0.000760,0.007873
helicopter,circle,18,0.003582,0.009163
helicopter,circle,18,0.000162,0.007686
helicopter,circle,18,0.001204,0.010915
helicopter,circle,18,0.000520,0.008219
helicopter,circle,18,0.001645,0.011798
helicopter,circle,18,0.000486,0.007749
helicopter,circle,18,0.001007,0.011094
helicopter,circle,18,0.000884,0.008175
helicopter,circle,18,0.001419,0.012776
helicopter,circle,18,0.001767,0.007730
helicopter,circle,18,0.001202,0.008693
helicopter,circle,18,0.003706,0.015162
helicopter,circle,18,0.001634,0.013234
helicopter,circle,18,0.001874,0.008642
helicopter,circle,18,0.001052,0.008414
helicopter,circle,18,0.000601,0.008129
helicopter,circle,18,0.001194,0.008845
helicopter,circle,18,0.000775,0.007969
helicopter,circle,18,0.000475,0.008509
helicopter,circle,18,0.000971,0.009719
helicopter,circle,18,0.000198,0.008452
helicopter,circle,18,0.000654,0.007925
helicopter,circle,18,0.000444,0.008495
helicopter,circle,18,0.001267,0.007610
helicopter,circle,18,0.000981,0.008707
helicopter,circle,18,0.000690,0.008344
helicopter,circle,18,0.000758,0.008644
helicopter,circle,18,0.000282,0.007480
helicopter,circle,18,0.004154,0.012465
helicopter,circle,18,0.001147,0.010960
helicopter,circle,18,0.000658,0.010979
helicopter,circle,18,0.000804,0.009242
helicopter,circle,18,0.001411,0.012620
helicopter,circle,18,0.003653,0.012153
helicopter,circle,18,0.000689,0.007930
helicopter,circle,18,0.001711,0.007906
helicopter,circle,18,0.000696,0.008174
helicopter,circle,18,0.002024,0.009974
helicopter,circle,18,0.003879,0.015704
helicopter,circle,18,0.001173,0.009477
helicopter,circle,18,0.002222,0.010420
helicopter,circle,18,0.000775,0.007983
helicopter,circle,18,0.000712,0.007491
helicopter,circle,18,0.001124,0.009799
helicopter,circle,18,0.001909,0.010852
helicopter,circle,18,0.000709,0.008391
helicopter,circle,18,0.001075,0.007548
helicopter,circle,18,0.001055,0.009929
helicopter,circle,18,0.000254,0.008204
helicopter,circle,18,0.001084,0.007758
helicopter,circle,18,0.002092,0.008700
helicopter,circle,18,0.000721,0.009254
helicopter,circle,18,0.000238,0.007626
helicopter,circle,18,0.000815,0.008056
helicopter,circle,18,0.001157,0.010011
helicopter,circle,18,0.000680,0.009549
helicopter,circle,18,0.000171,0.007633
helicopter,circle,18,0.001072,0.007697
helicopter,circle,18,0.001408,0.008576
helicopter,circle,18,0.000923,0.011760
helicopter,circle,18,0.001258,0.007989
helicopter,circle,18,0.004650,0.016041
helicopter,circle,18,0.000230,0.007463
helicopter,circle,18,0.001392,0.009960
helicopter,circle,18,0.000744,0.009831
helicopter,circle,18,0.000738,0.008018
helicopter,circle,18,0.001300,0.007633
helicopter,circle,18,0.001723,0.009777
helicopter,circle,18,0.001909,0.011400
helicopter,circle,18,0.000637,0.007865
helicopter,circle,18,0.000517,0.008290
helicopter,circle,18,0.000789,0.008687
helicopter,circle,18,0.001718,0.009616
helicopter,circle,18,0.000672,0.009165
helicopter,circle,18,0.001121,0.009156
helicopter,lemniscate,18,0.471855,0.087612
helicopter,lemniscate,18,0.469410,0.089980
helicopter,lemniscate,18,0.469284,0.092573
helicopter,lemniscate,18,0.470643,0.093997
helicopter,lemniscate,18,0.472737,0.095360
helicopter,lemniscate,18,0.469722,0.087328
helicopter,lemniscate,18,0.469672,0.093871
helicopter,lemniscate,18,0.470026,0.093533
helicopter,lemniscate,18,0.470828,0.088015
helicopter,lemniscate,18,0.471169,0.093449
helicopter,lemniscate,18,0.469949,0.089381
helicopter,lemniscate,18,0.469488,0.085935
helicopter,lemniscate,18,0.469131,0.092237
helicopter,lemniscate,18,0.472943,0.094851
helicopter,lemniscate,18,0.469214,0.085271
helicopter,lemniscate,18,0.470012,0.092887
helicopter,lemniscate,18,0.469763,0.088253
helicopter,lemniscate,18,0.469544,0.091946
helicopter,lemniscate,18,0.475322,0.100500
helicopter,lemniscate,18,0.471284,0.096557
helicopter,lemniscate,18,0.469414,0.086996
helicopter,lemniscate,18,0.469010,0.086856
helicopter,lemniscate,18,0.469414,0.086951
helicopter,lemniscate,18,0.471240,0.089881
helicopter,lemniscate,18,0.471154,0.091606
helicopter,lemniscate,18,0.471716,0.088374
helicopter,lemniscate,18,0.469907,0.091243
helicopter,lemniscate,18,0.470173,0.088895
helicopter,lemniscate,18,0.468830,0.086763
helicopter,lemniscate,18,0.474785,0.089100
helicopter,lemniscate,18,0.468820,0.090152
helicopter,lemniscate,18,0.470634,0.100221
helicopter,lemniscate,18,0.470908,0.094136
helicopter,lemniscate,18,0.469765,0.087059
helicopter,lemniscate,18,0.472031,0.087156
helicopter,lemniscate,18,0.471808,0.090912
helicopter,lemniscate,18,0.469224,0.089133
helicopter,lemniscate,18,0.470785,0.090143
helicopter,lemniscate,18,0.471334,0.090196
helicopter,lemniscate,18,0.472844,0.094021
helicopter,lemniscate,18,0.470145,0.087849
helicopter,lemniscate,18,0.471154,0.088950
helicopter,lemniscate,18,0.474914,0.089288
helicopter,lemniscate,18,0.473882,0.093956
helicopter,lemniscate,18,0.472136,0.091819
helicopter,lemniscate,18,0.468969,0.086910
helicopter,lemniscate,18,0.474040,0.089603
helicopter,lemniscate,18,0.470110,0.088902
helicopter,lemniscate,18,0.473857,0.093387
helicopter,lemniscate,18,0.477470,0.110476
helicopter,lemniscate,18,0.469672,0.085088
helicopter,lemniscate,18,0.471042,0.095284
helicopter,lemniscate,18,0.470456,0.089723
helicopter,lemniscate,18,0.472173,0.090072
helicopter,lemniscate,18,0.471796,0.088480
helicopter,lemniscate,18,0.471735,0.089108
helicopter,lemniscate,18,0.472260,0.094405
helicopter,lemniscate,18,0.471475,0.087119
helicopter,lemniscate,18,0.470297,0.088200
helicopter,lemniscate,18,0.472196,0.089256
helicopter,lemniscate,18,0.470103,0.090289
helicopter,lemniscate,18,0.469885,0.089786
helicopter,lemniscate,18,0.470678,0.091287
helicopter,lemniscate,18,0.469496,0.092336
helicopter,lemniscate,18,0.469972,0.089756
helicopter,lemniscate,18,0.469850,0.098944
helicopter,lemniscate,18,0.469783,0.086841
helicopter,lemniscate,18,0.472614,0.093035
helicopter,lemniscate,18,0.471966,0.089278
helicopter,lemniscate,18,0.469235,0.085275
helicopter,lemniscate,18,0.472557,0.086176
helicopter,lemniscate,18,0.470105,0.087500
helicopter,lemniscate,18,0.473239,0.095482
helicopter,lemniscate,18,0.470699,0.090131
helicopter,lemniscate,18,0.472071,0.091439
helicopter,lemniscate,18,0.471382,0.087451
helicopter,lemniscate,18,0.473164,0.100208
helicopter,lemniscate,18,0.474168,0.102129
helicopter,lemniscate,18,0.472986,0.096758
helicopter,lemniscate,18,0.469387,0.092517
helicopter,lemniscate,18,0.472488,0.102832
helicopter,lemniscate,18,0.470857,0.089996
helicopter,lemniscate,18,0.470893,0.090408
helicopter,lemniscate,18,0.471884,0.091418
helicopter,lemniscate,18,0.469505,0.087168
helicopter,lemniscate,18,0.470538,0.094459
helicopter,lemniscate,18,0.471052,0.089965
helicopter,lemniscate,18,0.470445,0.099198
helicopter,lemniscate,18,0.470942,0.087386
helicopter,lemniscate,18,0.470254,0.086361
helicopter,lemniscate,18,0.469524,0.090111
helicopter,lemniscate,18,0.469654,0.089184
helicopter,lemniscate,18,0.469499,0.087954
helicopter,lemniscate,18,0.472805,0.091851
helicopter,lemniscate,18,0.472355,0.097444
helicopter,lemniscate,18,0.470393,0.085785
helicopter,lemniscate,18,0.469390,0.090906
helicopter,lemniscate,18,0.468951,0.090698
helicopter,lemniscate,18,0.470813,0.094028
helicopter,lemniscate,18,0.471083,0.094768
